Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Origin of Challenge,Year
"Alvarez, Julia",Before We Were Free,Banned from Libraries,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Amery, Heather",The Usborne Book of Bible Stories,Banned from Libraries and Classrooms,,,,Bible Tales Readers,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
Amir,Zahra's Paradise,Banned Pending Investigation,,Khalil,,,Florida,Escambia County Public Schools,May-23,Formal Challenge,2022-2023
Amir,Zahra's Paradise,Banned from Libraries and Classrooms,,Khalil,,,Florida,Santa Rosa County District Schools,May-23,Formal Challenge,2022-2023
Amir,Zahra's Paradise,Banned from Libraries,,Khalil,,,Missouri,North Kansas City Schools,Sep-22,Legislative Action,2022-2023
Amir,Zahra's Paradise,Banned from Libraries and Classrooms,,Khalil,,,Missouri,Rockwood School District,Aug-22,Legislative Action,2022-2023
Amir,Zahra's Paradise,Banned from Libraries,,Khalil,,,Missouri,Webster Groves School District,Sep-22,Legislative Action,2022-2023
"Ancona, George",Cuban Kids,Banned from Libraries,,,,,Florida,Miami-Dade Public Schools,Mar-23,Formal Challenge,2022-2023
"Anderson, Carol","One Person, No Vote (YA edition): How Not All Voters Are Treated Equally",Banned Pending Investigation,"Bolden, Tonya",,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Anderson, Carol",We Are Not Your Equal: Understanding Our Racial Divide,Banned Pending Investigation,"Bolden, Tonya",,,,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Anderson, Carol",We Are Not Your Equal: Understanding Our Racial Divide,Banned from Libraries and Classrooms,"Bolden, Tonya",,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Anderson, Jodi Lynn",The Secrets of Peaches,Banned from Libraries,,,,Peaches,Texas,Frisco Independent School District,Mar-23,Administration,2022-2023
"Anderson, Laurie Halse",Shout,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak,Banned from Libraries and Classrooms,,,,,Florida,School District of Hamilton County,Mar-23,Administration,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,,Idaho,Kuna School District,Feb-23,Administration,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,,Wyoming,Park County School District #1,Feb-23,Administration,2022-2023
"Anderson, Laurie Halse",Speak: Chinese Edition,Banned from Libraries and Classrooms,,,Mu Ma Wen Hua (publisher),,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak: The Graphic Novel,Banned Pending Investigation,,"Carroll, Emily",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak: The Graphic Novel,Banned from Libraries and Classrooms,,"Carroll, Emily",,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Speak: The Graphic Novel,Banned Pending Investigation,,"Carroll, Emily",,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Anderson, Laurie Halse",Speak: The Graphic Novel,Banned Pending Investigation,,"Carroll, Emily",,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Anderson, Laurie Halse",Twisted,Banned Pending Investigation,,,,,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Twisted,Banned from Libraries and Classrooms,,,,,Florida,Santa Rosa County District Schools,May-23,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Twisted,Banned Pending Investigation,,,,,Idaho,Kuna School District,Feb-23,Administration,2022-2023
"Anderson, Laurie Halse",Twisted,Banned Pending Investigation,,,,,North Dakota,Williston Basin School District #7,Sep-22,Informal Challenge,2022-2023
"Anderson, Laurie Halse",Twisted,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Anderson, Laurie Halse",Twisted,Banned from Libraries,,,,,Utah,Alpine School District,Nov-22,Legislative Action,2022-2023
"Anderson, Laurie Halse",Twisted,Banned from Libraries and Classrooms,,,,,Utah,Wasatch School District,AY 2022-2023,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Wintergirls,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Anderson, Laurie Halse",Wintergirls,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Anderson, Laurie Halse",Wintergirls,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Anderson, Laurie Halse",Wintergirls,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Anderson, Laurie Halse",Wintergirls,Banned Pending Investigation,,,,,Texas,Keller Independent School District,Feb-23,Formal Challenge,2022-2023
"Anderson, M. T.",The Daughters of Ys,Banned from Libraries and Classrooms,,"Rioux, Jo",,,Missouri,Kirkwood School District,Oct-22,Legislative Action,2022-2023
"Anderson, M. T.",The Daughters of Ys,Banned Pending Investigation,,"Rioux, Jo",,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Anderson, William",Laura Ingalls Wilder Country: The People and Places in Laura Ingalls Wilder's Life and Books,Banned from Libraries and Classrooms,,,,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,Jul-22,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Florida,Flagler Schools,Oct-22,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Florida,Highlands Schools,Mar-23,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Florida,Lake County Schools,Fall 2022,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Florida,School District of Manatee County,Jul-22,Legislative Action,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Florida,School District of Osceola County,Mar-23,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,,Maine,Maine School Administrative District #6,Apr-23,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Missouri,Willard Public Schools,Jan-23,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,,North Dakota,Williston Basin School District #7,Sep-22,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Mar-23,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries,,,,,Oregon,West Linn-Wilsonville School District,Nov-22,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Virginia,Hanover County Public Schools,Jun-23,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries,,,,,Virginia,Spotsylvania County Public Schools,Feb-23,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,,Virginia,Williamsburg-James City Public Schools,May-23,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,Jul-22,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,,Florida,Flagler Schools,Oct-22,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Mar-23,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,,Utah,Alpine School District,Nov-22,Legislative Action,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,,Utah,Davis School District,Feb-23,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned Pending Investigation,,,,,Utah,Granite School District,Nov-22,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,,Utah,Jordan School District,AY 2022-2023,Formal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Jul-22,Informal Challenge,2022-2023
"Andrews, Jesse",The Haters,Banned Pending Investigation,,,,,Wisconsin,School District of Somerset,Feb-23,Formal Challenge,2022-2023
"Andrews, V.C.",Flowers in the Attic,Banned Pending Investigation,,,,Dollanganger,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Andrews, V.C.",Flowers in the Attic,Banned from Libraries,,,,Dollanganger,Florida,School District of Manatee County,Jul-22,Legislative Action,2022-2023
"Angelou, Maya",I Know Why The Caged Bird Sings,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
Anonymous,Noah's Ark: Words from the Book of Genesis,Banned from Libraries and Classrooms,,"Ray, Jane",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
Anonymous,Read with Me Bible: An NIV Story Bible for Children,Banned from Libraries and Classrooms,,"Jones, Dennis",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
