Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Origin of Challenge,Year
"Kobabe, Maia",Gender Queer: A Memoir,Banned from Libraries and Classrooms,,,,,Missouri,Rockwood School District,Aug-22,Legislative Action,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned from Libraries,,,,,Missouri,Webster Groves School District,Sep-22,Legislative Action,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,,New York,Washingtonville Central School District,Sep-22,Informal Challenge,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned from Libraries and Classrooms,,,,,North Carolina,Alamance-Burlington School District,Sep-22,Informal Challenge,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned from Libraries and Classrooms,,,,,Oklahoma,Tulsa Public Schools,Jul-22,Informal Challenge,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Oct-22,Formal Challenge,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned from Libraries and Classrooms,,,,,Pennsylvania,Central Bucks School District,Dec-22,Formal Challenge,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned from Libraries and Classrooms,,,,,Texas,Fort Worth Independent School District,Jun-23,Informal Challenge,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned from Libraries and Classrooms,,,,,Utah,Alpine School District,Nov-22,Legislative Action,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned from Libraries and Classrooms,,,,,Wisconsin,Sheboygan Area School District,Jan-23,Administration,2022-2023
"Kobabe, Maia",Gender Queer: A Memoir,Banned Pending Investigation,,,,,Wyoming,Natrona County Schools,Oct-22,Formal Challenge,2022-2023
"Koertge, Ron",Boy Girl Boy,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Dec-22,Formal Challenge,2022-2023
"Koertge, Ron",Boy Girl Boy,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Koertge, Ron",Boy Girl Boy,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Koertge, Ron",Boy Girl Boy,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Koertge, Ron",Boy Girl Boy,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Konigsberg, Bill",The Bridge,Banned Pending Investigation,,,,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Konigsberg, Bill",The Music of What Happens,Banned Pending Investigation,,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Koopmans, Andy",The History of the Blues,Banned Pending Investigation,,,,The Music Library,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Korman, Gordon",Schooled,Banned from Libraries,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Korn, Irene",Great Masterpieces of the World,Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Köster, Thomas",50 Artists You Should Know,Banned Pending Investigation,"Röper, Lars",,,50 You Should Know,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Kozol, Jonathan",Savage Inequalities: Children in America's Schools,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Kranz, Rachel",Gay Rights (RK),Banned Pending Investigation,"Cusick, Tim",,,Library in a Book,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Krause, Fran",Deep Dark Fears,Banned Pending Investigation,,,,Deep Dark Fears Collection,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Krause, Fran",The Creeps: A Deep Dark Fears Collection,Banned Pending Investigation,,,,Deep Dark Fears Collection,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Kubo, Tite","Bleach, Vol. 21",Banned from Libraries,,,,Bleach,Missouri,Lindbergh Schools,Nov-22,Legislative Action,2022-2023
"Kühl, Isabel",50 Sculptures You Should Know,Banned Pending Investigation,"Reichold, Klaus",,,50 You Should Know,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned from Libraries and Classrooms,,,,,Arkansas,Conway Public Schools,Oct-22,Unclear,2022-2023
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,,Idaho,Kuna School District,Feb-23,Administration,2022-2023
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned from Libraries,,,,,Missouri,Nixa Public Schools,Apr-23,Unclear,2022-2023
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Mar-23,Formal Challenge,2022-2023
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned from Libraries,,,,,Texas,Cypress-Fairbanks Independent School District,Dec-22,Formal Challenge,2022-2023
"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,Banned Pending Investigation,,,,,Utah,Granite School District,Nov-22,Formal Challenge,2022-2023
"Kuklin, Susan",We Are Here to Stay: Voices of Undocumented Young Adults,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Kwok, Jean",Girl in Translation,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"La Sala, Ryan",Reverie,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"LaCour, Nina",Hold Still,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"LaCour, Nina",Watch Over Me,Banned from Libraries,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"LaCour, Nina",We Are Okay,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"LaCour, Nina",We Are Okay,Banned from Libraries and Classrooms,,,,,Michigan,Davison Community Schools,Aug-22,Informal Challenge,2022-2023
"Ladwig, Tim",Psalm Twenty-Three,Banned from Libraries and Classrooms,,,,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Laird, Elizabeth",A Little Piece of Ground,Banned Pending Investigation,"Nimr, Sonia","Neal, Bill",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Laird, Elizabeth",The Road to Bethlehem: An Ethiopian Nativity,Banned from Libraries and Classrooms,,,,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Lane, Leena",Stories of Jesus,Banned from Libraries and Classrooms,"Bishop, Roma",,,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Lang, Suzanne","Families, Families, Families!",Banned from Libraries,"Lang, Max",,,,Florida,School District of Manatee County,Jun-23,Administration,2022-2023
"Langford, Jo",The Pride Guide: A Guide to Sexual and Social Health for LGBTQ Youth,Banned from Libraries and Classrooms,,,,,Texas,Frisco Independent School District,Nov-22,Administration,2022-2023
"Latham, Irene","Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship",Banned Pending Investigation,"Waters, Charles","Qualls, Sean; Alko, Selina",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
Lauren Shippen,A Neon Darkness,Banned Pending Investigation,,,,The Bright Sessions,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Lauren, Christina",Autoboyography,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Layman, John",The Complete Idiot's Guide to Drawing Manga: Illustrated,Banned Pending Investigation,"Hutchinson, David",,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Layne, Aliza",Beetle and the Hollowbones,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Layne, Aliza",Beetle and the Hollowbones,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Apr-23,Formal Challenge,2022-2023
"Lee, C. B.",A Clash of Steel: A Treasure Island Remix,Banned from Libraries,,,,Remixed Classics,Texas,Frisco Independent School District,Mar-23,Administration,2022-2023
"Lee, Darrien",Grown in 60 Seconds,Banned Pending Investigation,,,,Denim Diaries,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Lee, Harper",Go Set a Watchman,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Lee, Harper",To Kill a Mockingbird,Banned Pending Investigation,,,,,Florida,The School District of Palm Beach County,Jul-22,Legislative Action,2022-2023
"Lee, Harper",To Kill a Mockingbird,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Lee, Mackenzi",The Gentleman's Guide to Vice and Virtue,Banned Pending Investigation,,,,Montague Siblings,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Lee, Stan","Karakuridoji Ultimo, Vol. 1",Banned Pending Investigation,,"Takei, Hiroyuki",,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Lee, Stan",Spider-Man in Face-to-Face with the Lizard,Banned Pending Investigation,"Ditko, Steve; Quantz, Daniel","Meyers; Jonboy; Davidson, Pat; Molinar; Larry; Gentile, Randy",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Lee, Victoria",A Lesson in Vengeance,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Feb-23,Formal Challenge,2022-2023
"Lee, Victoria",A Lesson in Vengeance,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Legrand, Claire",Furyborn,Banned from Libraries and Classrooms,,,,Empirium,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Legrand, Claire",Furyborn,Banned Pending Investigation,,,,Empirium,Virginia,Madison County Public Schools,Jan-23,Administration,2022-2023
"Legrand, Claire",Kingsbane,Banned from Libraries and Classrooms,,,,The Empirium Trilogy,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Legrand, Claire",Lightbringer,Banned from Libraries and Classrooms,,,,The Empirium Trilogy,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Leibovitz, Annie",Annie Leibovitz at Work,Banned from Libraries and Classrooms,,,,,Missouri,Kirkwood School District,Oct-22,Legislative Action,2022-2023
"Leibovitz, Annie",Women,Banned from Libraries and Classrooms,"Sontag, Susan",,,,Missouri,Kirkwood School District,Oct-22,Legislative Action,2022-2023
"Lemire, Jeff",Secret Origins,Banned Pending Investigation,,"Ormston, Dean; Stewart, Dave",,Black Hammer,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Lemire, Jeff",The Event,Banned Pending Investigation,,"Ormston, Dean; Stewart, Dave",,Black Hammer,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Lemm, Trinity",Home (TL),Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Mar-23,Administration,2022-2023
"Leone, Bruno",Human Sexuality: Opposing Viewpoints,Banned Pending Investigation,"Stalcup, Brenda; Swisher, Karin L.",,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Leong, Sloane",A Map to the Sun,Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Lester, Julius",Pharaoh's Daughter: A Novel of Ancient Egypt,Banned from Libraries and Classrooms,,,,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Levithan, David",19 Love Songs,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Levithan, David",Another Day,Banned Pending Investigation,,,,Every Day,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Levithan, David",Boy Meets Boy,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Levithan, David",Every Day,Banned Pending Investigation,,,,Every Day,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Levithan, David",Hold Me Closer: The Tiny Cooper Story,Banned from Libraries and Classrooms,,,,"Will Grayson, Will Grayson",Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Levithan, David",Someday,Banned Pending Investigation,,,,Every Day,Florida,Clay County School District,Nov-22,Formal Challenge,2022-2023
"Levithan, David",Two Boys Kissing,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Levithan, David",Two Boys Kissing,Banned from Libraries,,,,,Florida,Collier County Public Schools,Mar-23,Administration,2022-2023
"Levithan, David",Two Boys Kissing,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Levithan, David",Two Boys Kissing,Banned Pending Investigation,,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Levithan, David",Two Boys Kissing,Banned Pending Investigation,,,,,Florida,Okaloosa County Schools District,Jan-23,Administration,2022-2023
"Levithan, David",Two Boys Kissing,Banned Pending Investigation,,,,,Pennsylvania,Pleasant Valley School District,Jul-22,Informal Challenge,2022-2023
"Levithan, David",Two Boys Kissing,Banned Pending Investigation,,,,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Levy, Dana Alison",The Family Fletcher Takes Rock Island,Banned Pending Investigation,,,,Family Fletcher,Florida,Okaloosa County Schools District,Jan-23,Administration,2022-2023
"Levy, Dana Alison",This Would Make a Good Story Someday,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,May-23,Formal Challenge,2022-2023
"Lewis, Sean","Coyotes, Vol. 1",Banned Pending Investigation,,"Yarsky, Caitlin",,Coyotes,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Lewis, Sean","Coyotes, Vol. 2",Banned Pending Investigation,,"Yarsky, Caitlin",,Coyotes,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Leyh, Kat",Snapdragon,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Limb, Sue","Girl, (Nearly) 16: Absolute Torture",Banned Pending Investigation,,,,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Liparulo, Robert",House of Dark Shadows,Banned Pending Investigation,,,,Dreamhouse Kings,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Liparulo, Robert",Timescape,Banned Pending Investigation,,,,Dreamhouse Kings,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Little, Emily",David and the Giant,Banned from Libraries and Classrooms,,,,Step into Reading,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Littman, Sarah Darer",Anything But Okay,Banned from Libraries,,,,,Texas,Frisco Independent School District,Mar-23,Administration,2022-2023
"Liu, Marjorie",Monstress,Banned from Libraries,"Takeda, Sana",,,Monstress,Missouri,Independence School District,Oct-22,Legislative Action,2022-2023
"Liu, Marjorie","Monstress, Vol. 1: Awakening",Banned from Libraries and Classrooms,,"Takeda, Sana",,Monstress,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Liu, Marjorie","Monstress, Vol. 2: The Blood",Banned from Libraries and Classrooms,,"Takeda, Sana",,Monstress,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Liu, Marjorie","Monstress, Vol. 3: Haven",Banned from Libraries and Classrooms,,"Takeda, Sana",,Monstress,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Liu, Marjorie","Monstress, Vol. 4: The Chosen",Banned from Libraries and Classrooms,,"Takeda, Sana",,Monstress,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Livingston, Myra Cohn",Thanksgiving Poems,Banned from Libraries and Classrooms,,"Gammell, Stephen",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Lo, Malinda",Ash,Banned Pending Investigation,,,,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Feb-23,Formal Challenge,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned from Libraries,,,,,Florida,Flagler Schools,Jun-23,Formal Challenge,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned from Libraries,,,,,South Carolina,Horry County Schools,Nov-22,Informal Challenge,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned from Libraries and Classrooms,,,,,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned from Libraries and Classrooms,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned from Libraries and Classrooms,,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned Pending Investigation,,,,,Utah,Granite School District,Oct-22,Formal Challenge,2022-2023
"Lo, Malinda",Last Night at the Telegraph Club,Banned Pending Investigation,,,,,Wisconsin,School District of Somerset,Feb-23,Formal Challenge,2022-2023
"Lockhart, E.",Fly on the Wall: How One Girl Saw Everything,Banned Pending Investigation,,,,,Florida,Highlands Schools,Sep-22,Informal Challenge,2022-2023
"Lockhart, E.",Fly on the Wall: How One Girl Saw Everything,Banned Pending Investigation,,,,,Florida,Okaloosa County Schools District,Jan-23,Administration,2022-2023
"Lockhart, E.",Fly on the Wall: How One Girl Saw Everything,Banned Pending Investigation,,,,,Pennsylvania,Pleasant Valley School District,Jul-22,Informal Challenge,2022-2023
"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned from Libraries and Classrooms,,,,,Florida,Duval County Public Schools,Mar-23,Administration,2022-2023
"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned from Libraries and Classrooms,,,,,Florida,Highlands Schools,Sep-22,Informal Challenge,2022-2023
"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned Pending Investigation,,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned Pending Investigation,,,,,Florida,Okaloosa County Schools District,Jan-23,Administration,2022-2023
"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",Banned Pending Investigation,,,,,Pennsylvania,Pleasant Valley School District,Jul-22,Informal Challenge,2022-2023
"Lockhart, E.",We Were Liars,Banned Pending Investigation,,,,We Were Liars,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Lookadoo, Justin",Dateable: Are You? Are They?,Banned Pending Investigation,"DiMarco, Hayley",,,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Lord, Cynthia",Rules (CL),Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Losure, Mary","Isaac the Alchemist: Secrets of Isaac Newton, Reveal'd",Banned from Libraries,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Lourie, Richard","Hunting the Devil: The Pursuit, Capture and Confession of the Most Savage Serial Killer in History",Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Love, Jessica",Julián at the Wedding,Banned Pending Investigation,,,,Julián,Florida,Escambia County Public Schools,Apr-23,Formal Challenge,2022-2023
"Love, Jessica",Julián Is a Mermaid,Banned from Libraries and Classrooms,,,,Julián,Florida,Clay County School District,Jul-22,Formal Challenge,2022-2023
"Love, Jessica",Julián Is a Mermaid,Banned from Libraries,,,,Julián,South Carolina,Horry County Schools,Nov-22,Informal Challenge,2022-2023
"Loveless, Gina",Puberty is Gross but Also Really Awesome,Banned Pending Investigation,,"Johnston, Lauri",,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Lowis, Kristina",50 Paintings You Should Know,Banned Pending Investigation,"Pickeral, Tamsin",,,50 You Should Know,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Lowry, Lois",Messenger,Banned from Libraries,,,,The Giver,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Lowry, Lois",The Giver,Banned from Libraries,,,,The Giver,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Lowry, Lois",The Giver: Graphic Novel,Banned Pending Investigation,,"Russell, P. Craig",,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Lubbock, Jules",Storytelling in Christian Art from Biotto to Donatello,Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Lukavics, Amy",Daughters Unto Devils,Banned from Libraries,,,,,Utah,Alpine School District,Nov-22,Legislative Action,2022-2023
"Lukoff, Kyle",Different Kinds of Fruit,Banned from Libraries,,,,,Florida,Broward County Public Schools,Oct-22,Informal Challenge,2022-2023
"Lukoff, Kyle",Too Bright to See,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Feb-23,Formal Challenge,2022-2023
"Lukoff, Kyle",Too Bright to See,Banned from Libraries,,,,,Florida,The School District of Palm Beach County,Jul-22,Legislative Action,2022-2023
"Lukoff, Kyle",When Aidan Became a Brother,Banned Pending Investigation,,"Juanita, Kaylani",,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Lukoff, Kyle",When Aidan Became a Brother,Banned from Libraries and Classrooms,,"Juanita, Kaylani",,,Florida,School District of Manatee County,Jul-22,Legislative Action,2022-2023
"Lukoff, Kyle",When Aidan Became a Brother,Banned from Libraries,,"Juanita, Kaylani",,,Florida,The School District of Palm Beach County,Jul-22,Legislative Action,2022-2023
"Lund, Cameron",The Best Laid Plans,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Lupica, Mike",Hero,Banned from Libraries,,,,,Texas,Frisco Independent School District,Jan-23,Administration,2022-2023
"Lyga, Barry",Boy Toy,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,Jul-22,Formal Challenge,2022-2023
"Lyga, Barry",Boy Toy,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Dec-22,Formal Challenge,2022-2023
"Lyga, Barry",Boy Toy,Banned from Libraries and Classrooms,,,,,Florida,Santa Rosa County District Schools,Jun-23,Formal Challenge,2022-2023
"Lyga, Barry",Boy Toy,Banned from Libraries and Classrooms,,,,,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Lyga, Barry",Boy Toy,Banned from Libraries and Classrooms,,,,,Texas,Keller Independent School District,Fall 2022,Formal Challenge,2022-2023
"Lyga, Barry",Boy Toy,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Feb-23,Administration,2022-2023
"Lyga, Barry",Boy Toy,Banned from Libraries and Classrooms,,,,,Virginia,Spotsylvania County Public Schools,Oct-22,Formal Challenge,2022-2023
"Lyga, Barry",Boy Toy,Banned Pending Investigation,,,,,Wisconsin,School District of Somerset,Feb-23,Formal Challenge,2022-2023
"Lyga, Barry",Mangaman,Banned Pending Investigation,,"Doran, Colleen",,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Lyon, George Ella",Sonny's House of Spies,Banned Pending Investigation,,,,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Lyons, Mary E.",Stitching the Stars: The Story Quilts of Harriet Powers,Banned from Libraries and Classrooms,,,,African-American Artists and Artisans,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,A Court of Thorns and Roses,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,A Court of Thorns and Roses,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,A Court of Thorns and Roses,Florida,School District of Hamilton County,Mar-23,Administration,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,A Court of Thorns and Roses,Florida,Volusia County Schools,Aug-22,Formal Challenge,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries,,,,A Court of Thorns and Roses,Missouri,Nixa Public Schools,Apr-23,Unclear,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries,,,,A Court of Thorns and Roses,North Carolina,Cumberland County Schools,Apr-23,Administration,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,A Court of Thorns and Roses,North Dakota,Williston Basin School District #7,Sep-22,Informal Challenge,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,A Court of Thorns and Roses,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,Sep-22,Formal Challenge,2022-2023
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,A Court of Thorns and Roses,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
